Phone Model,Phone Name,Total Reviews & Ratings
LG,"Điện thoại LG G7 ThinQ cũ (Mỹ, Hàn Quốc)",1190
LG,"Điện thoại LG G8 ThinQ Cũ (Snapdragon 855, màn P-OLED 2K)",1090
LG,"Điện thoại LG V50S ThinQ 5G cũ (Snapdragon 855, Sạc 21W)",806
Xiaomi,Điện thoại Xiaomi Redmi K20 Pro (Snap 855),5490
Xiaomi,Điện thoại Xiaomi Redmi Note 8 Pro (Helio G90T),4730
Xiaomi,Điện thoại Xiaomi Redmi K20,3639
OPPO,Điện thoại OPPO Reno 2,190
OPPO,Điện thoại OPPO Reno 3 Pro 5G,158
OPPO,Điện thoại OPPO Reno5 Chính Hãng (8-128GB),140
Realme,Điện thoại Realme Q (Realme 5 Pro),4514
Realme,Điện thoại Realme X (Camera Popup),2934
Realme,Điện thoại Realme X2 Pro,2870
Samsung,Điện thoại Samsung Galaxy A90 5G Cũ (Snapdragon 855),1359
Samsung,Điện thoại Samsung Galaxy Note 9 cũ (128GB - 512GB),805
Samsung,"Điện thoại Samsung Galaxy S10 5G cũ (99,9%) (Màn 6.7'' 2K+)",801
Vivo,Điện thoại Vivo iQOO Neo 855,3873
Vivo,Điện thoại Vivo iQOO Z1x,1697
Vivo,Điện thoại Vivo iQOO Neo,1100
iPhone,Điện thoại iPhone XS cũ (Chính hãng),1763
iPhone,"Điện thoại iPhone 7 Plus Lock Nhật, Mỹ (Dùng như Quốc tế)",1388
iPhone,Điện thoại iPhone XR cũ (Chính hãng),1239
OnePlus,Điện thoại OnePlus 7 Pro cũ (99%),1481
OnePlus,Điện thoại OnePlus 8T,566
OnePlus,Điện thoại OnePlus 8,470
Bkav,Điện thoại Bkav Bphone A40 (Giảm giá 60%),7
Bkav,Điện thoại Bkav Bphone A50 (Giảm 58.1% Giá bán),4
Bkav,"Điện thoại Bkav Bphone A85 5G (Dimensity 810 5G, màn AMOLED 90Hz)",3
Tecno,Điện thoại Tecno POVA 3 (Chính hãng),58
Tecno,Điện thoại Tecno Spark 20 Pro (Màn hình 120Hz),47
Tecno,Điện thoại Tecno POVA 4 Pro Chính hãng (Pin 6000 mAh - Helio G99),37
Apple,Điện thoại Apple Watch Series 3 Nhôm 42mm (Cũ 99.9%),46
Apple,Điện thoại Apple Watch Series 3 Nhôm 38mm (Cũ 99.9%),26
Apple,Điện thoại Apple Watch Series 6 40mm Viền Nhôm cũ,0
ZTE,Điện thoại ZTE Nubia Z60 Ultra 5G (Snapdragon 8 Gen 3),35
ZTE,Điện thoại ZTE Nubia Z50 (Snapdragon 8 Gen 2 - Màn 144Hz),27
ZTE,Điện thoại ZTE Nubia Z50 Ultra (Snapdragon 8 gen 2 - AMOLED 1 tỷ màu),19
Motorola,Điện thoại Motorola Edge S30,44
Motorola,Điện thoại Motorola Edge X30,35
Motorola,Điện thoại Motorola Moto X30 Pro,10
Google,"Điện thoại Google Pixel 6 Pro 5G (Màn hình 2K,  Pin 5003mAh)",69
Google,"Điện thoại Google Pixel 5 5G Cũ 99,9% (Snapdragon 765G)",56
Google,"Điện thoại Google Pixel 4 XL (Snapdragon 855, màn OLED 2K)",38
Honor,Điện thoại Honor 9X,123
Honor,Điện thoại Honor 60 SE,18
Honor,Điện thoại Honor 20S,16
Nothing,Điện thoại Nothing Phone (1),51
Nothing,Điện thoại Nothing Phone (2a) (Dimensity 7200 Pro),12
Nothing,Điện thoại Nothing Phone (2) (Snapdragon 8+ Gen 1),7
Infinix,Điện thoại Infinix GT 10 Pro 5G (Dimensity 8050),11
