,ten,loai_dien_thoai,thoi_gian_bao_hanh,danh_gia,so_luong_binh_luan,duong_dan,mau_sac,gia_moi,gia_cu,he_dieu_hanh,cpu,ram,bo_nho_trong,dung_luong_pin,thiet_ke,hang_dien_thoai,la_dien_thoai_cu,kich_thuoc_man_hinh,tan_so_quet,do_sang_man_hinh,loai_man_hinh,so_the_sim,loai_pin,cong_suat_sac,do_phan_giai_cam_sau,do_phan_giai_cam_truoc,CPU_Loai
0,"Điện thoại LG G7 ThinQ cũ (Mỹ, Hàn Quốc)",LG,6.0,5.0,1191,https://mobilecity.vn/lg/lg-g7-cu.html,Xám,1750000.0,2950000.0,Android 8,"Qualcomm SDM845 Snapdragon 845 (10 nm)
8 nhân (4x2.8 GHz & 4x1.7 GHz)
GPU: Adreno 630",4.0,64.0,3000.0,"Khung nhôm
Mặt trước kính Gorilla Glass 5
Mặt sau kính Gorilla Glass 5
Chống bụi/nước IP68",LG,True,6.1,,,LCD,2,,18.0,"[16.0, 16.0]",[8.0],Qualcomm Snapdragon
1,"Điện thoại LG G7 ThinQ cũ (Mỹ, Hàn Quốc)",LG,6.0,5.0,1191,https://mobilecity.vn/lg/lg-g7-cu.html,Xám,2050000.0,2950000.0,Android 8,"Qualcomm SDM845 Snapdragon 845 (10 nm)
8 nhân (4x2.8 GHz & 4x1.7 GHz)
GPU: Adreno 630",6.0,128.0,3000.0,"Khung nhôm
Mặt trước kính Gorilla Glass 5
Mặt sau kính Gorilla Glass 5
Chống bụi/nước IP68",LG,True,6.1,,,LCD,2,,18.0,"[16.0, 16.0]",[8.0],Qualcomm Snapdragon
2,"Điện thoại LG G7 ThinQ cũ (Mỹ, Hàn Quốc)",LG,6.0,5.0,1191,https://mobilecity.vn/lg/lg-g7-cu.html,Trắng,1750000.0,2950000.0,Android 8,"Qualcomm SDM845 Snapdragon 845 (10 nm)
8 nhân (4x2.8 GHz & 4x1.7 GHz)
GPU: Adreno 630",4.0,64.0,3000.0,"Khung nhôm
Mặt trước kính Gorilla Glass 5
Mặt sau kính Gorilla Glass 5
Chống bụi/nước IP68",LG,True,6.1,,,LCD,2,,18.0,"[16.0, 16.0]",[8.0],Qualcomm Snapdragon
3,"Điện thoại LG G7 ThinQ cũ (Mỹ, Hàn Quốc)",LG,6.0,5.0,1191,https://mobilecity.vn/lg/lg-g7-cu.html,Trắng,2050000.0,2950000.0,Android 8,"Qualcomm SDM845 Snapdragon 845 (10 nm)
8 nhân (4x2.8 GHz & 4x1.7 GHz)
GPU: Adreno 630",6.0,128.0,3000.0,"Khung nhôm
Mặt trước kính Gorilla Glass 5
Mặt sau kính Gorilla Glass 5
Chống bụi/nước IP68",LG,True,6.1,,,LCD,2,,18.0,"[16.0, 16.0]",[8.0],Qualcomm Snapdragon
4,"Điện thoại LG G7 ThinQ cũ (Mỹ, Hàn Quốc)",LG,6.0,5.0,1191,https://mobilecity.vn/lg/lg-g7-cu.html,Xanh,1750000.0,2950000.0,Android 8,"Qualcomm SDM845 Snapdragon 845 (10 nm)
8 nhân (4x2.8 GHz & 4x1.7 GHz)
GPU: Adreno 630",4.0,64.0,3000.0,"Khung nhôm
Mặt trước kính Gorilla Glass 5
Mặt sau kính Gorilla Glass 5
Chống bụi/nước IP68",LG,True,6.1,,,LCD,2,,18.0,"[16.0, 16.0]",[8.0],Qualcomm Snapdragon
5,"Điện thoại LG G7 ThinQ cũ (Mỹ, Hàn Quốc)",LG,6.0,5.0,1191,https://mobilecity.vn/lg/lg-g7-cu.html,Xanh,2050000.0,2950000.0,Android 8,"Qualcomm SDM845 Snapdragon 845 (10 nm)
8 nhân (4x2.8 GHz & 4x1.7 GHz)
GPU: Adreno 630",6.0,128.0,3000.0,"Khung nhôm
Mặt trước kính Gorilla Glass 5
Mặt sau kính Gorilla Glass 5
Chống bụi/nước IP68",LG,True,6.1,,,LCD,2,,18.0,"[16.0, 16.0]",[8.0],Qualcomm Snapdragon
6,"Điện thoại LG G7 ThinQ cũ (Mỹ, Hàn Quốc)",LG,6.0,5.0,1191,https://mobilecity.vn/lg/lg-g7-cu.html,Đen,1750000.0,2950000.0,Android 8,"Qualcomm SDM845 Snapdragon 845 (10 nm)
8 nhân (4x2.8 GHz & 4x1.7 GHz)
GPU: Adreno 630",4.0,64.0,3000.0,"Khung nhôm
Mặt trước kính Gorilla Glass 5
Mặt sau kính Gorilla Glass 5
Chống bụi/nước IP68",LG,True,6.1,,,LCD,2,,18.0,"[16.0, 16.0]",[8.0],Qualcomm Snapdragon
7,"Điện thoại LG G7 ThinQ cũ (Mỹ, Hàn Quốc)",LG,6.0,5.0,1191,https://mobilecity.vn/lg/lg-g7-cu.html,Đen,2050000.0,2950000.0,Android 8,"Qualcomm SDM845 Snapdragon 845 (10 nm)
8 nhân (4x2.8 GHz & 4x1.7 GHz)
GPU: Adreno 630",6.0,128.0,3000.0,"Khung nhôm
Mặt trước kính Gorilla Glass 5
Mặt sau kính Gorilla Glass 5
Chống bụi/nước IP68",LG,True,6.1,,,LCD,2,,18.0,"[16.0, 16.0]",[8.0],Qualcomm Snapdragon
8,"Điện thoại LG G7 ThinQ cũ (Mỹ, Hàn Quốc)",LG,6.0,5.0,1191,https://mobilecity.vn/lg/lg-g7-cu.html,Đỏ,1750000.0,2950000.0,Android 8,"Qualcomm SDM845 Snapdragon 845 (10 nm)
8 nhân (4x2.8 GHz & 4x1.7 GHz)
GPU: Adreno 630",4.0,64.0,3000.0,"Khung nhôm
Mặt trước kính Gorilla Glass 5
Mặt sau kính Gorilla Glass 5
Chống bụi/nước IP68",LG,True,6.1,,,LCD,2,,18.0,"[16.0, 16.0]",[8.0],Qualcomm Snapdragon
9,"Điện thoại LG G7 ThinQ cũ (Mỹ, Hàn Quốc)",LG,6.0,5.0,1191,https://mobilecity.vn/lg/lg-g7-cu.html,Đỏ,2050000.0,2950000.0,Android 8,"Qualcomm SDM845 Snapdragon 845 (10 nm)
8 nhân (4x2.8 GHz & 4x1.7 GHz)
GPU: Adreno 630",6.0,128.0,3000.0,"Khung nhôm
Mặt trước kính Gorilla Glass 5
Mặt sau kính Gorilla Glass 5
Chống bụi/nước IP68",LG,True,6.1,,,LCD,2,,18.0,"[16.0, 16.0]",[8.0],Qualcomm Snapdragon
